Year,Subject,Calendar Name,Created By,Updated By,Who,Location,Description,Tags,Session name
2021,All-in-one smartphone-based system for quantitative analysis of point-of-care diagnostics,Regular talks > Track B,UseR! 2021,UseR! 2021,"Schary, Weronika; Paskali, Filip",The Lounge #talk_shiny,"We propose a smartphone-based system for the quantification of various lateral flow assays for the detection and diagnosis of diseases. The proposed smartphone-based system consists of a 3D-printed photo box for standardized positioning and lighting, a smartphone for image acquisition and an R Shiny Software Package with modular, customizable applications for image editing, analysis, data extraction, calibration and quantification. This system is less expensive than commonly used hardware and software for analysis, so it could prove very beneficial for diagnostic testing in the context of pandemics, as well as low-resource countries, in which laboratory equipment as well as diagnostic facilities are scarce.

  
The proposed system is facilitated with R Shiny, an open-source package - free to use and modify. It can be used without extensive programming skills, which could further the development of diagnosis becoming simpler, quicker, more efficient and still cost-effective compared to the gold standard methods used in detection and diagnosis today. Also, the automatic documentation of all analysis steps implemented in the application via R Markdown allows for accurate reproducibility in research and clinical practice.

  
For further image analysis, package LFApp was created to enable image editing, cropping, segmentation, background correction, data analysis, calibration and quantification of extracted pixel intensity values from the image.

  
Besides Shiny, other major packages used are EBImage, ggplot2, DT, shinyjs, stats, shinyFiles, rmarkdown and shinythemes. Furthermore, we designed an additional version of the UI module, using ShinyMobile, to make the app more accessible on small touchscreens.

  
Our goal was to build a versatile free open-source system, that is scalable and extensible, and also modifiable to suit any research team requirements. It represents an all-in-one, portable, cost-efficient and easily reproducible system for full analysis, that works well on computers as well as portable devices, such as smartphones.",Web Applications (Shiny/Dash),2B - Shiny
2021,respectables and synthetic.cdisc.data: A framework for creating relational data with application,Regular talks > Track A,UseR! 2021,UseR! 2021,"Becker, Gabriel",The Lounge #talk_data_management,"Synthetic data provides a privacy-safe mechanism for developing, benchmarking, testing, and showcasing analysis plans and data processing pipelines. Existing tools in R focus primarily on creating or manipulating individual rectangular datasets (dplyr) or combining already existing multiple rectangular datasets (dm). Many crucial types of data, however, involve inter-related rectangular sets of data, with columns in one table acting as keys or lookups within another. An example of this is the CDISC data standard for clinical trial data, which, given an overall set of patients, has some rectangular datasets containing exactly one row per patient and other datasets where some patients have data represented in multiple rows while other patients are entirely absent (e.g., because they did not have any adverse events).

  
The respectables package defines a recipe-based framework which allows for the specification of data to be synthesized at three distinct levels. First, we provide an intuitive recipe mechanism for specifying the creation - via sampling, synthesis or both - of a rectangular dataset. These recipes support the definition of both conditional and joint behaviors between sets of variables. Second, we define the concept of a scaffolding join recipe which specifies the creation of a rectangular dataset with a particular foreign-key style relationship with another dataset. Finally, we combine these two types of recipes to create recipe books which specify, a priori, the creation and construction of full database-like cohorts of inter-related datasets, either based on existing starting data or from whole cloth.

  
The synthetic.cdisc.data package provides respectables recipes for the creation of synthetic clinical trial readout data that adheres to the CDISC standard.

  
respectables and synthetic.cdisc.data will be released open source - approval granted prior to abstract submission - and available on github at the time of the presentation.",Databases / Data management,2A - Data Management
2021,Unit Testing Shiny App Reactivity,Regular talks > Track B,UseR! 2021,UseR! 2021,"Sidi, Jonathan",The Lounge #talk_shiny,"When developing Shiny apps there are a lot of reactivity problems that can arise when one reactive or observe element triggers other elements. In some cases these can create cascading reactivity (the horror). The goal of reactor is to efficiently diagnose these reactivity problems and then plan unit tests to avert them during app development, making it a less painful and more robust experience. Reactor can improve the stability of shiny app development with many collaborators through its application in a version control and CI/CD framework.",Web Applications (Shiny/Dash),2B - Shiny
2021,Going Big and Fast - {kafkaesque} for Kafka Access,Regular talks > Track A,UseR! 2021,UseR! 2021,"Meißner, Peter",The Lounge #talk_data_management,"Kafka is a big data technology that allows for high throughput low latency stream processing, storing and distributing data. Kafka is written in Java and has become an infrastructure industry standard to for real time, near time, microservice and distributed applications.

  
This talk introduces {kafkaesque} a package which allows R users to integrate their code and models with Kafka e.g., to use it as a distributed message queue or to access and process data fed into Kafka by other systems. Besides presenting core concepts and how to use the package, the talk will also talk about the development process and the pros and cons of using Java code in R packages.",Databases / Data management,2A - Data Management
2021,ShinyQuickStarter: Build Shiny apps interactively with Drag & Drop,Regular talks > Track B,UseR! 2021,UseR! 2021,"Binder, Leon",The Lounge #talk_shiny,"The development of Shiny apps is often very time-consuming. This applies to the initial setup of the folder structure, but especially to the creation of the user interface and the implementation of the program logic. Many UI and logic elements are available and distributed across several packages.

  
To make the development process more efficient, we developed the RStudio addin ‘ShinyQuickStarter’. ‘ShinyQuickStarter’ is designed both for beginners who have acquired some basic knowledge of Shiny but have not gained much practical experience, and for advanced users who want to accelerate the process of developing new, powerful Shiny apps. It helps to setup the design of Shiny apps within a few minutes, so developers can start implementing the actual program logic almost immediately.

  
‘ShinyQuickStarter’ enables developers to create Shiny apps interactively using an intuitive drag and drop interface. A variety of page types and over 75 UI elements for navigation, layout, inputs, and outputs are supported. The options of these UI elements are interactively customizable, so developers can easily tailor Shiny apps towards their requirements and see the effect of an option immediately. Context-sensitive documentation furthermore supports especially beginners in orchestrating easy-to-use Shiny apps. ‘ShinyQuickStarter’ also creates the required folder structure for a new app and exports the source code of both the UI and the server component. Developers have the opportunity to organize the source code into Shiny modules. ‘ShinyQuickStarter’ solves the core problem of creating Shiny apps by streamlining the workflow of creating UI elements and corresponding server-side elements.",Web Applications (Shiny/Dash),2B - Shiny
2021,Scaling R for Enterprise Data,Regular talks > Track A,UseR! 2021,UseR! 2021,"Hornick, Mark",The Lounge #talk_data_management,"While R has made significant gains in performance with each new release, sometimes the data itself is the bottleneck - having to move it from one environment to another. With enterprise data stored in Oracle databases, the integration of R with Oracle Database enables using R more efficiently at on larger volume data. Oracle Machine Learning for R (OML4R) – the R interface to in-database machine learning and R script deployment from Oracle – enables you to work with database tables and views using familiar R syntax and functions. For scalable and performant data exploration, data preparation, and machine learning, R users leverage Oracle Database as a high-performance compute engine and build machine learning models using parallelized in-database algorithms using R Formula-based specification. Further, deployment of user-defined R functions from SQL facilitates application and dashboard development, where R engines are dynamically spawned and controlled by Oracle Database. Users can even take advantage of running user-defined R functions in a data-parallel and task-parallel manner.",Databases / Data management,2A - Data Management
2021,The ShinyProxy Good News Show,Regular talks > Track B,UseR! 2021,UseR! 2021,"De Koninck, Tobia",The Lounge #talk_shiny,"Interactive web applications have become standard data science artefacts. Since 5 years ShinyProxy offers a 100% open source enterprise solution to run and manage such applications. Whether you want to deploy Shiny, Dash, H2O Wave or Streamlit apps, ShinyProxy has your back. Whether you serve a small team or host internet-facing apps for thousands of users, ShinyProxy will scale and stand the load. Whether you use LDAP, ActiveDirectory, OpenID Connect, SAML 2.0 or Kerberos to authenticate / authorize users, ShinyProxy makes it happen. Want to mix in an IDE (e.g. RStudio) or notebook server (e.g. Jupyter or Zeppelin notebooks)? Look no further than ShinyProxy. Monitor your stack and gather usage statistics? Check. Embed the apps over APIs into other websites? Solved problem. In this talk we provide technical detail to the good news and focus on the latest ShinyProxy refinements and developments.",Web Applications (Shiny/Dash),2B - Shiny
2021,Questions,Regular talks > Track A,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_data_management,Last questions for all the speakers,Community and Outreach,2A - Community and Outreach 1
2021,Questions,Regular talks > Track B,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_shiny,Last questions for all the speakers,Community and Outreach,2B - Shiny
2021,Incubator: Five principles to grow up your R community,Panels and incubators,UseR! 2021,UseR! 2021,"Chávez-Fuentes, Joselyn C.; Cuevas-Fernández, Erick; Reyes, Alejandro; Collado-Torres, Leonardo",The Lounge #incubator_r_community,"The Community of Bioinformatics Software Developers CDSB (<https://comunidadbioinfo.github.io>) was created in 2018 with the aim to promote R software development in México, increase Latin American representation in global communities, and facilitate the transition from software users to software developers. Through CDSB, we encourage users to develop and present R packages at international conferences, such as useR, RStudio, Bioconductor, LatinR, and ConectaR. Three years after its creation, the CDSB community has members from all over the country as well as from other Latin American countries, e.g. Costa Rica, Perú, Ecuador, Colombia. Importantly, this community has served as a base for CDSB members to create their own local communities, like R-Ladies Chapters (<https://rladiesmx.netlify.app>). In this incubator session, we will share five key principles that have helped us grow as a community, and how you can apply them in your local community.",Community and Outreach,Incubator: Five principles to grow up your R community
2021,Elevator Pitches 1,Elevator Pitches,UseR! 2021,UseR! 2021,,The Lounge #elevator_pitches,"Elevator pitches (short videos and technical notes):

1. Hetu-package: Validating and Extracting Information from Finnish National Identification Numbers (Pyry Kantanen, Måns Magnusson, Jussi Paananen, Leo Lahti)
2. Visualising variable importance and variable interaction effects in machine learning models. (Alan Inglis, Andrew Parnell, Catherine Hurley)
3. Obtaining reproducible reports on satellite hotspot data during a wildfire disaster (Natalia Soledad Morandeira)
4. Modeling spatio-temporal point processes with nphawkes package (Peter Boyd, Dr. James Molyneux)
5. Use Case: Functional Programming and Parallelization in Spatial Point Pattern Analysis (Clara Chua, Tin Seong Kam)
6. Predicting the COVID-19 Pandemic Impact on Clinical Trial Recruitment at GSK (Valeriia Sherina, Nicky Best, Graeme Archer, Jack Euesden, Dave Lunn, Inna Perevozskaya, Doug Thompson, Magda Zwierzyna)
7. The Grammar of Experimental Design (Emi Tanaka)
8. rspatialdata: a collection of data sources and tutorials on downloading and visualising spatial data using R (Varsha Ujjini Vijay Kumar, Dilinie Seimon, Paula Moraga)
9. tramME: Mixed-Effects Transformation Models Using Template Model Builder (Balint Tamasi, Torsten Hothorn)
10. Teaching Advanced Data Science in R: Successes and Failures (Lisa Lendway)
11. rRbiMs, r tools for Reconstructing bin Metabolisms. (Mirna Vázquez Rosas Landa, Valerie de Anda Torres, Sahil Shan, Brett Baker)
12. ResidualRWA: Detecting relevant variable using relative weight analysis with residualization (Maikol Solís, Carlos Pasquier)
13. serosurvey R package: Serological Survey Analysis For Prevalence Estimation Under Misclassification (Andree Valle-Campos)
14. httrex: Help Debugging HTTP API Clients (Greg Daniel Freedman Ellis)
15. Reading, Combining, and Pre-Filtering Files with R and AWK (David Shilane, Mayur Bansal, Chung Woo Lee)
16. DATA PIPELINE: IMPROVING MANAGEMENT OF FINANCIAL CONTRIBUTIONS TO THE FIGHT AGAINST POVERTY IN COSTA RICA (Roberto Delgado Castro)
17. mctq: An R Package for the Munich ChronoType Questionnaire (Daniel Vartanian, Ana Amélia Benedito-Silva, Mario Pedrazzoli)
18. {flowDiv} workflow: reproducible cytometric diversity estimates (María Victoria Quiroga, Bruno M. S. Wanderley, André M. Amado, Fernando Unrein)
19. From Sheets to Success: Reliable, Reproducible, yet Flexible Production Pipelines (Katrina Brock)
20. Efficient multi-wave sampling with the R package optimall (Jasper B. Yang, Bryan E. Shepherd, Thomas Lumley, Pamela A. Shaw)
21. Open the Machine Learning Black-Box with modelStudio &amp; Arena (Hubert Baniecki, Piotr Piątyszek)
22. Classifying Student’s Learning Pattern using R Sequence Analysis Packages: The Impact of Procrastination on Performance (Teck Kiang Tan)
23. Outlier redemption (Violeta Roizman)
24. The Canyon of Success: Scaling Best Practices in R with Internal R packages (Malcolm Barrett)
25. Modeling tumor evolutionary dynamics with SITH (Phillip Nicol, Amir Asiaee)
26. A Glimpse into the Reproduciblity of Scientific Papers published in Movement Ecology: How are we doing ? (Jenicca Poongavanan, Rocio Joo Arakawa, Mathieu Basille)
27. Forecasting under COVID: when simple works - and when it doesn’t (Maryam Shobeirinejad, Steph Stammel)
28. gatpkg: Developing a geographic aggregation tool in R for non-programmers (Abigail Stamm)
29. tidyndr: An R package for analysis of the Nigeria HIV National Data Repository (Stephen Taiye Balogun, Scholastica Olanrewaju, Oluwaseun Okunuga, Temitope Kolade, Geraldine Chizoba Abone, Fati Murtala-Ibrahim, Helen Omuh)
30. Do you see what I see? Introducing microshades: An R package for improving color accessibility and organization of complex data (Lisa Karstens, Erin Dahl, Emory Neer)",EP,EP1
2021,mlr3automl - Automated Machine Learning in R,Regular talks > Track A,UseR! 2021,UseR! 2021,"Hanf, Alexander Bernd",The Lounge #talk_ml_dm,"We introduce mlr3automl, an open-source framework for Automated Machine Learning in R. Based on the mlr3 Machine Learning package, mlr3automl builds robust and accurate classification and regression models for tabular data.

  
mlr3automl provides automatic preprocessing, which guarantees stable performance in the presence of missing data, categorical and high-cardinality features, and large data sets. Preprocessing and model building is solved through a flexible pipeline implemented with mlr3pipelines. This allows mlr3automl to jointly optimize preprocessing, model selection and model hyperparameters using Hyperband.

  
mlr3automl shows strong performance and stability on a benchmark consisting of 39 challenging classification tasks. mlr3automl successfully completed every task in the benchmark within the strict time budget, which three out of five other state of the art AutoML systems failed to achieve.",Data mining / Machine learning / Deep Learning and AI,3A - Machine Learning and Data Management
2021,Tidy Geospatial Networks in R,Regular talks > Track B,UseR! 2021,UseR! 2021,"van der Meer, Lucas",The Lounge #talk_spatial_analysis,"Geospatial networks are graphs embedded in geographical space. That means that both the nodes and edges in the graph can be represented as geographic features: the nodes most commonly as points, and the edges as linestrings. They play an important role in many different domains, ranging from transportation planning and logistics to ecology and epidemiology. The structure and characteristics of geospatial networks go beyond standard graph topology, and therefore it is crucial to explicitly take space into account when analyzing them. The sfnetworks R package is created to facilitate such an integrated workflow. It brings together the sf package for spatial data science and the tidygraph package for standard graph analysis. The core of the package is a data structure that can be provided as input to both the graph analytical functions of tidygraph as well as the spatial analytical functions of sf, without the need for conversion. Additionally, it offers a set of geospatial network specific functions, such as routines for shortest path calculation, network cleaning and topology modification. The package is designed as a general-purpose package suitable for usage across different application domains, and can be seamlessly integrated in """"tidy"""" workflows that use the tidyverse packages for data science.",Spatial analysis,3B - Spatial Analysis
2021,autotest: Automatic testing of R packages,Regular talks > Track C,UseR! 2021,UseR! 2021,"Padgham, Mark",The Lounge #talk_packages_2,"The 'autotest' package has been developed by rOpenSci to automatically test the robustness of R packages to unexpected inputs. We hope that its usage will enable and encourage software to reach the highest possible quality prior to our peer-review process. 'autotest' implements a form of mutation testing which identifies expected or permitted forms for each parameter, and examines how each function responds to mutations of those inputs. Many software bugs are uncovered by packages being used in ways that developers themselves may not have anticipated, yet no developer can anticipate all potential ways software may be used. 'autotest' eases the task of making software robust to """"unexpected"""" usage by testing and reporting any points at which mutations to inputs generate unexpected results.

  
The package also matches expectations with textual descriptions provided by function documentation, and ensures that descriptions of input and output parameters are sufficient for users to understand ranges of admissible inputs, and of returned values. Application of 'autotest` to a package should thus ensure that forms and ranges of every parameter of every function are clearly described, and that all functions respond consistently to as many diverse forms of input as possible.

  
Finally, 'autotest' can also be used to automatically generate a package test suite. Although highly variable, applying the test to a package consisting primarily of numeric algorithms can """"automatically"""" generate a test suite covering well over 50% of code.","Efficient programming, R in production",3C - R Packages 2
2021,Triplot: model agnostic measures and visualisations for variable importance in predictive models that take into account the hierarchical correlation structure,Regular talks > Track A,UseR! 2021,UseR! 2021,"Pękala, Katarzyna",The Lounge #talk_ml_dm,"One of the key elements of the explanatory analysis of a predictive model is to assess the importance of the individual variables. The rapid development of the area of predictive model exploration (also called explainable artificial intelligence or interpretable machine learning) has led to the popularization of methods for local (instance level) and global (dataset level) methods, such as Permutational Variable Importance, Shapley Values (SHAP), Local Interpretable Model Explanations (LIME), Break Down and so on. However, these methods do not use information about the correlation between features which significantly reduce the explainability of the model behaviour.

  
In this work, we propose new methods to support model analysis by exploiting the information about the correlation between variables. The dataset level aspect importance measure is inspired by the block permutations procedure, while the instance level aspect importance measure is inspired by the LIME method. We show how to analyse groups of variables (aspects) both when they are proposed by the user and when they should be determined automatically based on the hierarchical structure of correlations between variables.

  
Additionally, we present a new type of model visualisation, triplot, that exploits a hierarchical structure of variable grouping to produce a high information density model visualisation. This visualisation provides a consistent illustration for either local or global model and data exploration.

  
We also show an example of real-world data with 5k instances and 37 features in which a significant correlation between variables affects the interpretation of the effect of variable importance.

  
The proposed method is, to our knowledge, the first to allow direct use of the correlation between variables in exploratory model analysis. Triplot package for R is developed under open source GPL-3 licence and is available on GitHub repository at <https://github.com/ModelOriented/triplot>.",Data mining / Machine learning / Deep Learning and AI,3A - Machine Learning and Data Management
2021,"slopes: a package for calculated slopes of roads, rivers and other linear (simple) features",Regular talks > Track B,UseR! 2021,UseR! 2021,"Lovelace, Robin; Félix, Rosa",The Lounge #talk_spatial_analysis,"The goal of the slopes is to enable reproducible calculation of slopes for urban, transport, ecological applications and research projects using free and open source software. We have developed the package to be fast, accurate and user friendly, calculating the longitudinal steepness of linear features such as roads and rivers based on open access datasets such as road geometries and digital elevation models (DEMs). The package has a few unique features, including the ability to calculate slopes based on multiple input classes for raster data, and the ability to download and use DEM data on-the-fly in places where users lack DEM data. The package is work in progress but has already attracted attention from road steepness maps of cities in Portugal and Brazil. Integrating with other packages such as sf and sfnetworks, the package should provide a strong foundation for research into the impacts of vertical gradient profiles on phenomena ranging from aquatic migration patterns to flooding and walking and cycling potential. In the talk we will present both the package and some of the research questions we have used it to explore and will ask the audience: how steep a hill would you be willing to walk or cycle up? We will conclude by discussing limitations of the package and future directions of development.",Spatial analysis,3B - Spatial Analysis
2021,A fresh look at unit testing with tinytest,Regular talks > Track C,UseR! 2021,UseR! 2021,"van der Loo, Mark",The Lounge #talk_packages_2,"""""The tinytest package\[1,2\] implements a light weight and flexible framework for unit testing R packages. In spite of its young age, tinytest has become quite popular: since it was released on CRAN in the spring of 2019, more than 140 packages on CRAN and Bioconductor have started to use tinytest for automatic unit testing. This includes influential packages such as Rcpp.

  
Tinytest has a few unique features that set it apart from other testing frameworks, such as parallelization and tracking of side-effects. Side effects such as changes in environment variables are important, for example when working with locale-sensitive operations such as sorting, or date-time conversions. Tinytest also makes it easy to temporarily manipulate the testing environment during the run of the test. For example by changing environment

  
variables. In tinytest, test results are just another type of data. They can be easily translated to data frame layout which to investigate results, or export them from an automated build environment. Moreover, tests are installed with the package so package authors can ask their users to run tests on the user's infrastructure. Using tinytest is easy, as test scripts require no special code: tinytest automatically collects and organizes test results that are

  
created by any unit test expectation occurring in the script.

  
As the name suggests, tinytest is a small package, built in less than 1200 lines of code and no dependencies other than two R-base packages that come with any R installation.

  
\[1\] M van der Loo (2017). tinytest: R package version 1.2.4. <https://cran.r-project.org/package=tinytest>

  
\[2\] MPJ van der Loo (2020) A method for deriving information from running R code. R-Journal (Accepted) <https://arxiv.org/abs/2002.07472>","Efficient programming, R in production",3C - R Packages 2
2021,Getting sprung in R: Introduction to the rsetse package for embedding feature-rich networks,Regular talks > Track A,UseR! 2021,UseR! 2021,"Bourne, Jonathan",The Lounge #talk_ml_dm,"The Strain Elevation Tension Spring embedding algorithm (SETSe) is a deterministic method for embedding feature-rich networks. The algorithm uses simple Newtonian equations of motion and Hooke's law to embed the network onto a locally euclidean manifold. To create the embedding, SETSe converts node attributes into forces and the edge attributes into springs. SETSe finds an equilibrium position when the forces on the springs balance the forces of the nodes. The algorithm has a time complexity of O(2) and linear memory complexity; this means the algorithm avoids issues faced by other physics based embedding methods and can be used to embed graphs with tens of thousands of nodes and more than a million edges.

  
Some applications of SETSe are; analysing social networks; understanding the robustness of power grids; geographical analysis; predicting node features; understanding power dynamic between individuals and organisations; analysis of molecular structures.

  
This presentation will provide both a brief technical discussion of the algorithm and its implementation, as well as several use cases. The use cases describe how to embed a network and then how to interpret that embedding.

  
There are very few options for graph embeddings using R, and this is something that rsetse seeks to address; the algorithm has been implemented in the package rsetse and is available on CRAN.",Data mining / Machine learning / Deep Learning and AI,3A - Machine Learning and Data Management
